Symbol,Weight
NSE:RELIANCE-EQ,0.093
NSE:HDFCBANK-EQ,0.0637
NSE:BHARTIARTL-EQ,0.0578
NSE:SBIN-EQ,0.0506
NSE:ICICIBANK-EQ,0.0494
NSE:TCS-EQ,0.0473
NSE:BAJFINANCE-EQ,0.0291
NSE:LT-EQ,0.0287
NSE:INFY-EQ,0.0271
NSE:HINDUNILVR-EQ,0.0259
NSE:AXISBANK-EQ,0.0215
NSE:MARUTI-EQ,0.0214
NSE:SUNPHARMA-EQ,0.0208
NSE:M&M-EQ,0.0207
NSE:TITAN-EQ,0.0205
NSE:HCLTECH-EQ,0.0201
NSE:NTPC-EQ,0.0195
NSE:ITC-EQ,0.0194
NSE:KOTAKBANK-EQ,0.0194
NSE:ONGC-EQ,0.0185
NSE:ADANIPORTS-EQ,0.0178
NSE:ULTRACEMCO-EQ,0.0177
NSE:BEL-EQ,0.0167
NSE:JSWSTEEL-EQ,0.0152
NSE:BAJAJFINSV-EQ,0.0149
NSE:POWERGRID-EQ,0.0149
NSE:ADANIENT-EQ,0.0142
NSE:BAJAJ-AUTO-EQ,0.0141
NSE:COALINDIA-EQ,0.0137
NSE:TATASTEEL-EQ,0.0133
NSE:NESTLEIND-EQ,0.0124
NSE:SHRIRAMFIN-EQ,0.0123
NSE:ETERNAL-EQ,0.0122
NSE:ASIANPAINT-EQ,0.0119
NSE:HINDALCO-EQ,0.0116
NSE:WIPRO-EQ,0.0113
NSE:SBILIFE-EQ,0.0101
NSE:EICHERMOT-EQ,0.01
NSE:GRASIM-EQ,0.0095
NSE:INDIGO-EQ,0.0092
NSE:JIOFIN-EQ,0.0079
NSE:TECHM-EQ,0.0074
NSE:TRENT-EQ,0.0072
NSE:HDFCLIFE-EQ,0.0071
NSE:TMPV-EQ,0.0067
NSE:APOLLOHOSP-EQ,0.0056
NSE:TATACONSUM-EQ,0.0055
NSE:DRREDDY-EQ,0.0052
NSE:CIPLA-EQ,0.0051
NSE:MAXHEALTH-EQ,0.0049
